State (Emission order)	Genome %	CpGIsland.bee.bed	beeExon.bee.bed	beeGene.bee.bed	beeTES.bee.bed	beeTSS.bee.bed	beeTSS2kb.bee.bed	drone_expressed_exons.bed	drone_expressed_genes.bed	drone_repressed_exons.bed	drone_repressed_genes.bed	known_repeats.bed	queen_expressed_exons.bed	queen_expressed_genes.bed	queen_repressed_exons.bed	queen_repressed_genes.bed	repeats_regions.bed	unknown_repeats.bed	worker_expressed_exons.bed	worker_expressed_genes.bed	worker_repressed_exons.bed	worker_repressed_genes.bed
11	3.42680	1.34151	0.73768	0.93624	0.25888	0.46952	0.59230	0.57889	0.56235	2.72186	1.27398	1.12906	0.63145	0.84495	3.02857	1.25330	0.69967	0.48229	0.50795	0.28592	2.29337	1.18430
12	4.20024	1.98075	0.65589	0.81129	0.20202	0.35877	0.43885	0.49503	0.43608	2.64235	1.14505	0.49598	0.55518	0.64583	2.86773	1.37355	0.30719	0.21140	0.41573	0.18727	2.26393	1.04414
13	0.65342	1.73728	0.70817	0.91720	0.29514	1.05732	0.89744	0.59775	0.72737	2.06727	1.09540	4.82739	0.64377	0.92199	2.09375	0.90077	2.63941	1.53395	0.51626	0.48851	2.00129	1.08428
14	2.08678	3.45453	0.92357	1.13554	0.30189	1.64202	1.25084	0.91095	1.68336	1.09084	0.66305	0.17945	0.94229	1.32090	0.53730	0.49517	0.23785	0.28086	0.83647	1.63662	1.53508	0.96245
15	13.23472	2.08207	0.59752	0.98137	0.41335	0.99007	0.65165	0.54535	0.82153	1.25951	1.12935	1.49033	0.57863	1.06449	1.04095	0.69203	1.19975	1.06978	0.49103	0.50972	1.31498	1.16021
16	0.86190	4.11102	1.80222	0.98332	0.58921	8.56977	2.14916	1.85092	1.14387	1.24118	0.84848	1.64403	1.83813	1.08732	1.03604	0.63361	1.65715	1.67015	1.84343	1.19207	1.54664	0.91324
17	1.09189	0.70353	2.03962	1.16695	0.71826	1.79627	1.96953	2.13788	1.63491	0.79677	0.74612	1.16635	2.09421	1.36360	0.81222	0.48407	0.73863	0.56288	2.21672	2.05031	0.82706	0.82574
18	0.04992	2.25596	3.95149	1.19462	0.00000	4.73674	3.68561	4.24590	1.75952	0.27741	0.70452	0.43642	4.12690	1.48590	0.13162	0.16341	0.38297	0.35752	4.43910	1.68076	0.72300	1.02509
19	0.16981	0.62041	4.58552	1.10262	1.17352	0.68262	1.20194	4.94583	1.87687	0.06128	0.42821	0.66622	4.79771	1.35471	0.00000	0.25483	0.31522	0.13981	5.25437	2.45895	0.06943	0.57995
20	0.50338	1.95320	5.21019	1.19847	1.36643	0.37766	1.31239	5.62153	2.10504	0.06406	0.38569	0.14410	5.45211	1.46689	0.01305	0.26962	0.09486	0.06866	5.97529	3.04396	0.04639	0.48018
21	0.15647	2.52390	4.93248	1.18990	2.01307	0.80008	1.01966	5.32369	2.24563	0.02529	0.22257	0.05022	5.16104	1.47848	0.00000	0.17958	0.08594	0.10905	5.66048	3.26702	0.01188	0.37631
22	0.34236	3.36883	4.50569	1.12498	2.15933	1.23245	1.45404	4.85732	2.02672	0.07235	0.32418	0.59536	4.71124	1.37734	0.03282	0.26778	0.29779	0.15857	5.16720	2.94768	0.02219	0.42945
23	0.12464	3.88003	4.90636	1.21395	1.28938	2.79004	4.00092	5.29514	2.18687	0.06476	0.34219	0.74338	5.13139	1.50532	0.10543	0.20051	0.62890	0.57201	5.61178	3.26679	0.15607	0.41889
Base	100	1.2334326023	14.8947402536	75.2463468927	0.0069062086	0.0095748393	20.3546037987	13.7877947991	36.1148740980	1.1219987338	40.5397142510	1.4915803391	14.2278085441	58.7246759774	0.6756585893	17.1425486556	4.5558583348	3.1639318862	12.9683391447	21.4019523491	1.9581440963	55.0369208681
