E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23
1,0,0,0,1,1,1,26,0,1,2,3,1,1,12,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,34,1,2,1,3,0,0,6,0,0,0,0,0,0,0,0
0,1,0,5,0,0,1,27,0,1,1,5,0,1,8,0,0,0,0,0,0,0,0
2,0,0,1,1,0,1,27,1,0,3,5,0,0,6,0,2,0,0,1,0,0,0
0,1,0,3,0,0,1,25,0,1,1,4,0,0,9,3,0,0,1,0,0,1,0
1,1,0,2,0,0,1,28,0,2,2,3,0,1,7,2,0,0,0,0,0,0,0
0,1,0,4,0,1,0,19,3,2,1,4,0,4,7,4,0,0,0,0,0,0,0
1,1,0,4,1,1,1,25,0,3,1,1,0,4,6,0,0,0,1,0,0,0,0
0,2,0,0,1,0,0,31,1,1,2,3,1,1,6,0,0,0,0,1,0,0,0
0,1,0,3,1,0,0,29,0,2,2,2,0,0,9,0,0,0,1,0,0,0,0
0,0,1,1,0,0,0,34,0,0,3,5,0,1,4,1,0,0,0,0,0,0,0
0,1,0,2,0,0,0,23,0,1,3,2,0,1,16,1,0,0,0,0,0,0,0
0,1,0,1,1,1,1,26,1,1,2,4,1,1,9,0,0,0,0,0,0,0,0
0,2,0,2,0,0,1,31,1,0,1,1,0,1,9,0,0,0,0,0,0,1,0
0,0,1,2,0,0,2,25,3,2,2,4,0,4,5,0,0,0,0,0,0,0,0
0,0,0,4,0,1,1,30,1,2,1,0,1,1,6,0,0,1,0,0,0,1,0
0,2,1,1,2,0,1,23,2,0,1,5,0,1,11,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,28,1,4,1,1,0,1,8,2,0,0,0,0,0,0,0
1,0,0,1,0,0,1,33,0,3,2,1,1,1,5,1,0,0,0,0,0,0,0
1,2,0,2,0,1,1,27,0,0,1,0,1,0,11,2,0,0,0,0,0,1,0
1,1,0,0,0,0,2,29,1,0,3,4,1,0,7,0,1,0,0,0,0,0,0
0,1,0,0,1,0,1,29,0,1,0,3,1,2,7,1,2,0,0,0,0,0,1
0,0,1,1,0,1,0,31,0,0,0,5,0,1,7,1,1,0,1,0,0,0,0
0,0,1,2,1,0,1,27,0,1,2,3,0,1,10,0,0,0,0,0,1,0,0
0,1,1,2,0,0,1,29,0,0,0,6,0,0,7,1,1,0,0,0,0,0,1
0,2,0,2,0,0,2,24,0,2,1,2,0,3,9,0,3,0,0,0,0,0,0
0,0,0,6,1,0,2,29,0,1,1,3,0,1,5,0,0,0,0,0,1,0,0
1,1,0,1,0,0,1,31,1,4,3,2,0,2,1,0,0,0,0,1,0,1,0
0,2,0,4,0,1,0,31,1,1,1,1,0,1,6,0,0,0,0,0,0,1,0
0,1,0,4,1,0,1,27,2,1,1,2,0,0,9,0,0,0,1,0,0,0,0
0,0,0,5,0,0,0,25,1,3,1,5,1,2,6,1,0,0,0,0,0,0,0
0,0,0,5,0,0,0,27,2,0,3,2,0,3,7,1,0,0,0,0,0,0,0
1,2,0,5,0,0,2,30,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0
0,0,0,2,0,0,1,24,0,1,2,6,1,3,9,1,0,0,0,0,0,0,0
1,1,0,3,0,0,2,27,0,1,1,5,0,2,7,0,0,0,0,0,0,0,0
0,0,1,2,1,0,0,25,1,0,5,1,0,2,11,1,0,0,0,0,0,0,0
0,1,0,3,0,0,0,26,0,1,2,3,0,0,11,2,1,0,0,0,0,0,0
1,0,0,5,0,0,2,26,0,2,2,2,0,2,7,0,0,1,0,0,0,0,0
1,0,0,4,0,0,3,28,0,1,3,2,0,1,7,0,0,0,0,0,0,0,0
0,1,1,2,1,0,0,29,0,0,4,2,0,1,6,0,3,0,0,0,0,0,0
2,0,0,3,0,0,2,25,0,0,2,3,0,2,10,0,1,0,0,0,0,0,0
0,1,1,2,1,0,0,25,0,1,0,3,1,6,4,2,1,0,0,2,0,0,0
0,1,0,3,0,0,1,28,0,0,2,6,0,2,6,0,0,0,0,0,1,0,0
3,2,0,1,0,0,2,26,1,0,1,5,0,2,6,0,1,0,0,0,0,0,0
2,0,1,4,0,0,1,25,1,2,2,5,0,3,4,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,24,1,4,0,6,0,2,7,3,1,0,0,0,0,0,0
1,2,0,1,1,0,2,22,0,2,2,6,0,1,7,0,3,0,0,0,0,0,0
0,1,0,1,0,0,1,30,0,3,2,2,0,0,9,1,0,0,0,0,0,0,0
0,0,0,3,0,0,1,30,0,0,2,2,0,2,6,1,2,0,0,1,0,0,0
1,1,0,3,0,0,1,31,0,0,2,1,0,0,8,0,0,1,0,1,0,0,0
1,0,0,3,0,0,0,30,0,0,2,4,0,0,7,0,2,0,1,0,0,0,0
0,2,2,5,0,0,0,23,1,1,2,3,1,2,8,0,0,0,0,0,0,0,0
1,1,0,2,0,0,0,29,0,1,1,2,1,2,8,1,0,0,0,0,0,1,0
0,0,0,1,0,0,2,20,2,0,3,8,1,0,12,0,0,0,0,1,0,0,0
0,1,0,5,1,0,1,29,0,2,3,3,1,2,1,1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,33,1,1,0,4,0,2,5,0,2,0,0,0,0,0,0
1,0,0,2,1,1,1,27,0,0,4,0,0,0,10,1,0,0,1,0,0,1,0
1,1,0,1,1,0,2,28,0,1,1,1,1,2,8,1,1,0,0,0,0,0,0
0,1,0,7,1,0,0,30,0,2,3,2,0,1,3,0,0,0,0,0,0,0,0
1,1,0,1,0,0,3,25,2,1,1,7,0,0,7,0,0,0,0,0,0,1,0
1,0,0,4,0,0,0,25,0,3,2,1,0,2,7,3,1,0,0,1,0,0,0
0,0,1,7,0,0,0,27,2,2,0,3,0,0,7,1,0,0,0,0,0,0,0
0,0,0,1,2,0,1,33,0,2,2,4,0,0,5,0,0,0,0,0,0,0,0
0,1,2,4,1,0,0,24,0,1,0,1,2,1,11,0,0,0,0,2,0,0,0
0,1,0,3,1,0,0,29,1,1,0,2,0,0,11,0,1,0,0,0,0,0,0
0,0,0,3,0,1,2,27,0,1,0,3,1,2,8,0,2,0,0,0,0,0,0
0,1,1,4,1,0,0,30,0,0,2,0,2,1,7,0,0,0,1,0,0,0,0
1,2,0,3,1,0,1,33,0,0,2,2,1,0,3,0,0,0,0,1,0,0,0
1,0,0,1,0,1,1,28,0,1,3,3,1,2,7,1,0,0,0,0,0,0,0
0,0,1,4,0,0,1,27,1,0,2,5,0,1,8,0,0,0,0,0,0,0,0
0,0,1,2,0,0,2,24,0,1,6,4,0,0,9,1,0,0,0,0,0,0,0
