E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23
1,0,0,2,0,1,2,27,2,0,2,7,0,1,3,0,1,0,1,0,0,0,0
1,0,0,4,0,1,0,29,1,2,1,4,0,0,4,0,3,0,0,0,0,0,0
0,1,0,0,0,0,2,23,0,2,2,3,0,2,8,1,6,0,0,0,0,0,0
0,1,0,1,0,1,2,24,0,2,1,6,0,2,5,0,5,0,0,0,0,0,0
0,3,0,2,0,1,0,33,2,2,1,1,0,1,2,0,1,0,0,0,0,1,0
0,1,2,2,0,0,0,27,0,1,4,3,0,1,7,1,1,0,0,0,0,0,0
0,0,0,4,1,0,1,29,1,0,3,3,0,1,3,0,3,0,0,1,0,0,0
1,2,0,2,0,0,0,27,0,2,3,3,0,1,5,1,3,0,0,0,0,0,0
0,3,0,1,1,0,1,25,2,4,1,3,0,3,1,1,2,0,0,0,1,0,1
0,2,0,2,0,1,2,25,2,2,2,3,0,3,2,1,3,0,0,0,0,0,0
0,0,0,1,0,0,0,29,2,1,1,5,0,2,6,0,2,0,0,1,0,0,0
1,2,0,2,1,0,3,27,1,3,0,3,0,2,3,1,1,0,0,0,0,0,0
2,1,0,5,0,0,1,28,1,1,0,2,0,2,3,2,1,0,0,1,0,0,0
1,1,0,2,0,1,0,22,1,1,3,5,0,0,7,0,5,0,0,0,0,0,1
0,1,1,3,0,0,0,30,2,0,1,4,0,1,2,3,2,0,0,0,0,0,0
0,1,0,3,0,2,2,23,2,4,0,2,0,2,6,1,2,0,0,0,0,0,0
