			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[
rnd-3_family-34	DNA	TcMar-Tc1	0	0	0	0	0	39	47	93	71	327	447	534	704	1042	1344	1449	1280	1297	2068	1716	2030	2094	1884	2485	1735	2619	1553	1022	997	760	466	199	58	9	95	13	0	0	0	0
rnd-5_family-3065	LTR	Copia	0	0	5365	654	0	0	50	0	288	190	235	566	531	948	975	2469	3546	5254	5864	5993	11357	7890	7428	5237	1781	2161	1276	1649	110	50	72	190	92	0	0	0	0	0	0	0
rnd-1_family-26	Unknown	Unknown	0	0	1195	9129	9966	3764	1728	4643	13361	11958	11996	17459	8405	2113	4900	1903	1425	2518	1379	812	509	515	1482	1370	125	0	758	379	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1284	DNA	TcMar-Mariner	0	0	0	0	1789	3381	364	526	4220	7294	2812	1621	661	216	33	14	102	39	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1546	Unknown	Unknown	0	0	0	0	0	0	0	522	0	1110	67	1660	1989	9095	19251	23183	35320	36358	49330	33423	25952	18540	18173	7706	6454	3682	2151	2025	214	266	786	0	355	84	0	0	0	0	0	0
rnd-6_family-645	Unknown	Unknown	0	0	69	11953	2430	6364	20950	1259	241	1283	0	4861	1093	520	1230	2898	7515	4369	1878	1190	2498	3418	2932	4708	5467	3221	4422	1346	1855	10	162	50	0	0	0	0	0	0	0	0
rnd-5_family-4049	Unknown	Unknown	0	0	0	0	0	0	0	0	1309	1028	0	0	175	351	0	335	241	640	1067	934	2063	681	713	1219	351	613	0	253	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-4170	Unknown	Unknown	0	0	79	0	42	38	0	0	403	266	233	93	120	249	122	350	344	598	336	252	331	394	427	375	224	318	0	129	0	0	124	0	0	0	0	0	0	0	0	0
rnd-1_family-2	Unknown	Unknown	31	458	13508	5551	21294	62749	32205	104651	80428	49835	8530	5797	11271	613	587	322	519	155	0	79	76	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-346	Unknown	Unknown	0	0	0	27	0	0	0	0	93	310	84	148	0	281	243	245	1357	954	551	63	319	740	674	368	279	499	539	324	132	115	0	0	0	0	0	0	0	0	0	0
rnd-1_family-74	Unknown	Unknown	0	0	0	0	0	0	0	0	51	0	0	0	42	0	0	0	0	0	53	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-4416	Unknown	Unknown	0	0	34	0	0	0	105	622	1131	892	1451	965	1839	1707	1277	750	1077	732	847	0	573	74	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-47	Unknown	Unknown	0	0	0	0	1623	1646	3466	125	4710	1493	1222	422	4790	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-15	Unknown	Unknown	0	0	0	0	96	0	0	210	455	430	2526	2804	4162	822	2115	1718	331	11263	3475	1828	0	0	2304	489	40	0	366	381	70	167	168	0	0	0	0	0	0	0	0	0
rnd-1_family-42	Unknown	Unknown	0	331	370	1976	3126	984	663	984	1979	3443	3674	5347	5059	1095	1917	314	785	1023	2044	248	1265	1223	1423	1652	2571	1061	240	710	0	0	0	194	0	0	0	0	0	0	0	0
rnd-2_family-33	Unknown	Unknown	0	0	40	122	0	0	86	133	430	200	665	1518	3745	3463	5790	8772	15275	23928	26524	39341	48496	54960	49969	50654	44993	34092	19438	9142	4951	2344	809	375	0	0	0	0	0	0	0	0
rnd-4_family-208	Unknown	Unknown	0	0	0	0	0	0	0	56	136	46	176	124	321	394	568	787	1173	915	1956	2281	1912	2170	2863	2332	2746	2470	1398	475	1501	1089	313	262	0	0	0	0	0	0	0	0
rnd-6_family-4732	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	1098	0	0	0	681	1446	1308	252	2096	2657	4497	6223	8969	2617	2882	3337	855	673	111	18	0	12	0	0	0	0	0	0	0
rnd-1_family-5	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-39	Unknown	Unknown	0	0	0	0	0	0	245	4415	13928	8340	342	0	0	2421	12247	6554	1840	1244	24	90	72	1628	0	1133	1783	1226	1411	702	756	83	131	0	0	0	0	0	0	0	0	0
rnd-5_family-935	Unknown	Unknown	0	0	0	0	0	0	0	56	0	507	0	170	605	339	333	1990	2851	1912	2285	2245	3827	2140	2081	2126	1142	2138	512	909	169	269	531	153	0	0	0	0	0	0	0	0
rnd-5_family-6003	Unknown	Unknown	436	0	737	368	295	150	150	0	0	0	138	0	0	0	0	21	349	711	854	864	1423	1978	1700	2160	1363	1652	1302	294	312	129	69	0	0	0	0	0	0	0	0	0
rnd-1_family-58	Unknown	Unknown	0	39	0	0	989	152	1044	4760	1755	497	3089	2176	1160	1390	1936	1481	576	1473	331	2079	270	364	205	142	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-143	Unknown	Unknown	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	76	196	0	148	100	135	313	0	1106	306	1472	282	238	386	743	472	187	0	0	167	239	0	0	0	0
rnd-5_family-13064	Unknown	Unknown	405	60	415	152	897	1392	2776	1624	3256	1935	1445	441	359	177	878	0	47	58	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-79	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2068	Unknown	Unknown	0	0	0	159085	3508	33477	5210	186761	13457	9347	6476	5619	476	4548	2038	3633	1362	1326	2560	4461	2315	3402	2279	489	2018	1339	1401	296	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-24	Unknown	Unknown	0	0	0	0	0	0	3278	4721	2196	534	1170	820	8018	6716	2883	2508	2220	1784	2546	1108	1689	5378	888	487	485	0	211	522	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3874	Unknown	Unknown	0	0	173	412	186	1918	2306	3684	2496	2569	4730	2769	1671	1065	454	780	899	547	850	139	135	64	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-413	Unknown	Unknown	452	0	663	345	347	374	575	600	789	476	867	506	546	865	526	334	385	315	918	647	277	498	691	1457	1473	1015	487	401	731	198	360	88	252	0	0	179	0	0	0	0
rnd-5_family-120	LTR	Copia	0	55	0	0	0	0	60	139	121	73	5637	1637	9125	8011	5261	11673	14447	13942	25656	5942	6349	1487	1013	1032	944	171	216	282	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-972	Unknown	Unknown	0	0	0	0	0	0	49	52	67	371	660	583	1492	2300	1944	2269	2550	2335	1481	3446	633	1000	76	387	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1840	DNA	PiggyBac	0	0	0	0	410	399	1684	1244	842	1367	2279	474	619	863	89	247	0	0	0	0	0	0	232	234	380	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-49	Unknown	Unknown	0	0	0	0	140	272	683	677	670	3540	3411	2234	2805	2202	460	2070	2640	1123	1108	831	414	1245	250	568	874	536	245	377	0	0	76	202	0	0	0	0	0	0	0	0
rnd-6_family-70	Unknown	Unknown	0	0	1000	0	0	1886	6802	5231	60	258	0	472	311	1070	956	812	797	0	255	244	110	510	0	179	288	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1071	LTR	Copia	0	3696	0	14034	11519	8942	344	7613	4463	4286	5001	3733	8351	4570	2954	6227	3740	10985	3892	3054	4709	7423	5859	1468	944	2572	398	54	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-297	Unknown	Unknown	0	0	0	0	0	0	0	0	50	149	37	126	385	1529	1549	650	2464	6396	4891	2960	1615	2409	961	1060	286	116	172	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-72	Unknown	Unknown	0	0	0	0	0	834	852	2465	0	0	0	116	0	0	584	288	915	777	1408	1086	2335	3074	2791	2814	1251	1477	1262	857	196	156	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1950	Unknown	Unknown	0	0	0	0	0	0	1536	529	2523	545	516	2252	3368	4882	3306	697	3022	714	2344	1475	684	2592	807	1838	626	322	0	0	0	202	0	0	0	0	0	0	0	0	0	0
rnd-1_family-11	DNA	TcMar-Mariner	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	66	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4573	Unknown	Unknown	0	1211	183	1482	739	5473	1720	1092	954	564	78	965	388	473	4420	796	1252	2200	1848	4473	3316	851	207	98	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-4698	Unknown	Unknown	0	0	0	3425	157	2884	276	0	47	190	0	0	0	268	556	1366	712	0	148	0	713	731	497	105	133	144	0	0	0	0	83	0	0	0	0	0	0	0	0	0
rnd-6_family-1811	Unknown	Unknown	0	0	0	0	0	0	79	364	235	70	403	593	847	686	1021	1793	817	344	954	341	507	364	487	80	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-44	DNA	TcMar-Tc1	38	0	116	77	1794	2566	5447	8073	7597	5827	2378	1769	755	1315	877	0	522	96	1070	0	1675	1052	6792	1835	2925	2237	920	411	0	0	237	0	0	0	0	0	0	0	0	0
rnd-5_family-8484	Unknown	Unknown	0	0	250	0	0	0	0	0	0	0	0	0	75	73	156	111	243	480	305	257	294	157	172	544	86	464	107	263	286	101	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2979	Unknown	Unknown	0	0	0	0	799	0	2100	11162	58	0	0	0	58	0	228	957	382	174	1731	2118	2564	5935	5391	6634	4786	4192	3329	1425	2093	1367	1117	104	115	0	0	0	0	0	0	0
rnd-5_family-2258	Unknown	Unknown	1180	6951	6085	0	1233	4351	6330	3811	13399	16657	5212	37303	64	1780	3102	863	1833	4569	4405	4301	3889	7204	12343	6122	3829	2865	4823	3095	3093	4650	639	375	222	236	0	0	0	0	0	0
rnd-1_family-62	Unknown	Unknown	0	0	0	0	0	0	0	0	0	125	0	0	125	51	258	255	2320	496	448	500	426	1237	489	461	796	270	43	0	0	133	0	0	0	0	0	0	0	0	0	0
rnd-4_family-322	Unknown	Unknown	0	0	36	0	0	0	1026	242	617	954	680	1896	3473	3798	4770	4520	6029	5860	3766	3173	1564	1483	1293	665	441	563	143	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-4	Unknown	Unknown	0	0	0	0	0	0	31	188	0	697	2191	2370	5333	5873	4608	9020	8167	10180	7823	6864	5015	7512	7262	5441	5242	2997	2332	1902	1119	375	132	456	12	0	0	0	0	0	0	0
rnd-6_family-248	Unknown	Unknown	0	0	0	33	0	52	113	42	239	455	993	696	665	625	1986	1723	1950	3374	2236	2885	2890	4797	3238	1583	1017	358	124	146	242	0	0	0	90	0	0	0	0	0	0	0
rnd-1_family-41	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	1136	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
rnd-5_family-357	Unknown	Unknown	0	0	0	0	0	0	0	601	401	600	545	682	0	540	668	930	1688	2087	1013	1948	1077	1361	1199	662	170	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-241	Unknown	Unknown	0	0	0	0	256	0	49	0	0	53	104	0	177	125	187	151	130	226	566	637	994	1234	1606	1130	2140	1323	986	1744	485	561	612	160	138	142	0	0	0	0	0	0
rnd-6_family-1867	Unknown	Unknown	0	0	146	0	0	4003	192	0	2286	786	1156	1341	170	2027	1716	253	581	2170	936	3125	1465	4229	409	2927	232	1500	75	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-34	Unknown	Unknown	0	0	0	383	0	0	0	0	0	0	0	0	72	0	42	57	0	177	190	0	0	168	583	428	105	0	70	0	0	241	129	0	0	245	0	0	0	0	0	0
rnd-1_family-46	Unknown	Unknown	36	0	0	0	492	54	240	54	491	223	153	109	280	102	50	105	0	0	49	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-2715	DNA	TcMar-Mariner	0	51	39	0	0	115	212	671	179	447	1218	2196	2724	3781	3696	4428	2993	3632	3347	1810	1846	2265	1089	926	322	299	0	0	107	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-78	DNA	TcMar-Mariner	435	4812	3498	1385	1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-83	Unknown	Unknown	0	0	495	1345	1123	3812	2321	1997	2868	1957	1557	989	800	240	870	326	760	184	417	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-19	DNA	TcMar-Tc1	806	1255	472	812	481	904	816	317	309	168	136	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-82	Unknown	Unknown	0	0	0	0	0	0	0	0	58	105	0	0	56	1261	97	64	224	0	0	0	0	95	99	155	245	632	780	81	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-996	Unknown	Unknown	0	0	0	0	0	0	0	40	114	159	298	1287	1582	2000	1050	1786	2730	1594	1168	1205	1353	947	97	185	281	80	131	0	80	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-29	DNA	hAT-Ac	0	0	0	10309	22350	29292	30230	7496	53060	18660	7120	6021	5383	10688	17163	1171	653	3622	1565	0	0	982	1142	472	168	487	0	0	0	184	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2107	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	381	0	0	259	180	361	123	827	976	1424	669	935	760	1269	290	1056	643	123	194	276	144	0	0	0	0	0	0	0	0	0
rnd-5_family-3073	Unknown	Unknown	0	0	0	53	0	0	63	0	63	56	138	594	660	1246	2193	1125	2656	2909	1687	1257	1322	1448	745	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-0	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	157	0	11	0	9	102	0	199	44	20	8	0	20	11	55	22	183	212	819	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-247	Unknown	Unknown	8174	1879	73	33	73	0	275	309	421	631	904	909	1101	1255	1576	1585	1509	1430	1417	1397	1294	774	460	522	279	432	169	426	136	54	176	0	0	0	0	0	0	0	0	0
rnd-1_family-23	Unknown	Unknown	0	0	0	0	65	0	0	176	97	3302	1935	1436	970	1062	311	76	34	34	46	46	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-37	Unknown	Unknown	0	0	0	0	0	0	0	0	4940	2788	8975	5712	788	677	314	359	1047	314	0	325	991	4076	0	341	579	359	0	0	135	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-64	Unknown	Unknown	0	0	8276	7837	2060	0	0	0	0	685	2286	5646	1178	519	501	330	2306	168	131	462	1236	1336	559	869	0	982	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4730	Unknown	Unknown	33451	241	0	484	0	104	315	659	907	31238	820	409	366	73	0	0	542	414	608	770	743	384	214	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-3_family-91	Unknown	Unknown	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	183	739	507	720	658	444	2249	1985	608	1453	937	810	183	209	219	0	0
rnd-5_family-6329	Unknown	Unknown	0	0	3215	1904	28044	20914	14220	760	955	33	0	114	62	48	0	145	882	236	888	891	566	196	803	1160	678	454	196	40	387	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-22	Unknown	Unknown	0	0	36	0	0	0	0	0	0	149	258	60	310	533	439	1059	1131	1095	789	618	925	1476	831	986	447	587	240	238	84	77	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3037	Unknown	Unknown	0	0	0	0	0	0	0	54	65	294	72	189	298	1169	1129	1406	3281	4045	4262	6145	5606	7691	4399	3912	3169	1436	937	842	311	17	182	0	0	0	0	0	0	0	0	0
rnd-1_family-14	DNA	TcMar-Tc1	128	787	2348	2629	4713	5986	3524	3639	1781	865	1126	306	81	208	42	325	109	319	404	313	222	358	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-3	Unknown	Unknown	0	0	0	0	0	0	0	0	46	0	49	0	0	0	0	0	0	0	54	114	318	2679	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-55	Unknown	Unknown	0	0	0	33	0	719	0	167	288	270	495	719	855	1059	1216	2567	2791	3797	1733	2687	3599	1952	1781	1357	1144	580	758	362	88	156	51	0	0	0	0	0	0	0	0	0
rnd-1_family-54	Unknown	Unknown	0	0	35	0	0	340	0	65	0	65	65	148	0	58	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-961	Unknown	Unknown	0	0	0	0	113	0	109	0	56	58	549	113	116	371	613	630	1447	929	1407	2003	2292	2358	1846	1108	1839	882	1514	537	204	461	98	162	0	0	0	0	0	0	0	0
rnd-5_family-1919	DNA	CMC-EnSpm	3669	102056	5056	323	10312	7640	5056	485	1756	335	1273	1209	2310	1914	1185	1062	1201	1888	489	161	385	182	100	33	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-371	DNA	TcMar-Mariner	117	87	21048	45069	5118	112	780	0	0	22	55	0	0	0	0	0	0	0	0	0	85	0	0	60	0	120	0	200	187	0	0	5	201	0	0	0	0	0	0	0
rnd-1_family-31	Unknown	Unknown	0	0	0	0	0	0	0	0	1116	373	2608	2224	0	490	2701	3492	486	1210	2465	372	2523	5171	2829	3152	5395	7031	1256	2626	2294	905	387	228	111	0	0	0	0	0	0	0
rnd-5_family-974	Unknown	Unknown	0	0	0	30	0	1554	4901	4478	660	346	787	0	176	0	97	643	663	3625	1582	351	414	237	168	169	249	0	216	216	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-2260	Unknown	Unknown	0	0	0	0	0	0	243	0	0	0	0	1725	163	0	0	0	299	94	0	199	219	101	28	16	78	356	0	156	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-6207	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	105	120	56	294	119	425	438	743	1106	1730	1313	1588	487	865	687	262	225	322	0	0	0	0
rnd-6_family-8450	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1806	1934	1889	0	0	186	352	1188	1869	362	270	563	525	3978	336	1797	0	621	0	0	0	0	0	0
rnd-4_family-594	Unknown	Unknown	28	428	103	1738	3248	9966	16122	16315	14824	13036	9921	9584	6365	4187	5442	2985	2790	1705	575	1074	194	73	73	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-592	Unknown	Unknown	0	0	0	0	0	0	0	0	87	41	380	101	317	325	895	1615	2058	2531	1530	1868	2504	993	689	1138	677	61	122	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1877	Unknown	Unknown	0	0	0	0	0	0	0	474	5300	3046	2050	3099	3541	4017	4371	9480	8605	3374	577	273	23	633	203	0	67	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-502	Unknown	Unknown	0	0	0	0	0	0	0	0	140	143	252	178	102	317	596	570	780	664	754	671	1378	902	1107	1760	2493	1681	1391	1256	1850	684	899	845	335	513	394	168	36	45	0	0
rnd-1_family-35	Unknown	Unknown	0	0	0	0	0	0	45	0	143	467	965	1552	3095	6226	6324	4671	6886	4394	4541	3921	3120	1761	1824	708	828	369	274	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-32	Unknown	Unknown	0	0	0	224	0	1628	2990	7187	1578	285	308	454	2590	613	470	963	611	0	490	1646	995	1332	922	306	492	0	397	142	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-852	Unknown	Unknown	0	0	0	0	0	0	0	0	0	59	97	252	0	1110	250	593	748	1284	1414	2219	3446	4601	2728	2920	3352	2490	228	434	168	788	410	233	0	0	0	0	0	0	0	0
rnd-1_family-40	Unknown	Unknown	0	0	0	0	0	148	0	0	0	0	0	0	0	2	0	25	12	2	108	117	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-48	Unknown	Unknown	0	0	0	0	0	1823	6549	0	1809	2409	535	808	1086	5030	2471	534	871	2966	2083	2727	1466	2677	2668	2531	1445	461	508	270	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-71	Unknown	Unknown	0	191	208	66	140	138	0	261	178	63	49	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1540	DNA	Sola-2	0	3763	36	0	353	3137	2046	3269	7059	5171	6382	15575	7739	3855	3566	4366	5033	5752	4520	2455	5257	2190	4871	2772	1061	276	387	0	308	132	86	0	30	0	0	0	0	0	0	0
rnd-1_family-63	Unknown	Unknown	0	161	0	382	50	413	144	101	141	48	49	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-7121	Unknown	Unknown	0	0	39	294	44	0	0	0	0	43	47	85	12	104	226	181	250	347	828	296	250	789	450	408	945	417	708	597	0	106	0	0	0	0	100	0	0	0	0	0
rnd-1_family-28	Unknown	Unknown	0	0	0	0	0	0	0	0	0	33	170	82	142	45	70	0	249	136	149	178	154	163	0	0	0	0	0	77	0	0	0	20	0	0	0	0	0	0	0	0
rnd-3_family-2	DNA	TcMar-Tc1	37	0	0	0	0	0	0	647	756	296	1168	2318	47919	168962	410568	143672	172487	98726	50430	24428	15779	12679	17085	17103	21980	15016	10499	3628	2739	1355	0	116	140	0	0	0	0	0	0	0
rnd-1_family-61	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	70	0	0	79	90	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1952	Unknown	Unknown	0	0	0	55	0	0	277	299	642	1480	374	1294	3102	1103	1202	893	1294	997	101	407	275	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-34	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	125	77	172	0	0	407	22	418	0	0	0	0	0	0	0	0	0
rnd-6_family-1316	Unknown	Unknown	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	298	176	245	422	0	336	561	162	488	145	488	546	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1374	Unknown	Unknown	0	0	0	0	66	0	65	0	134	0	639	427	295	614	234	884	644	1527	578	1286	1734	773	503	471	158	361	261	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2493	Unknown	Unknown	0	0	0	0	0	0	0	0	709	227	145	0	624	281	358	451	2063	2030	2679	2333	2166	2359	3564	934	710	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1402	Unknown	Unknown	0	0	0	292	0	0	0	51	56	44	0	111	127	214	419	384	544	1246	1363	1679	1868	2138	2147	1631	1711	1277	1180	729	827	549	316	227	0	0	0	33	0	0	0	0
rnd-4_family-321	Unknown	Unknown	0	231	1615	7375	5881	6043	5575	151181	35036	7694	5448	3579	8050	75078	1464304	2489280	32127	7133	37821	54425	38758	7844	6689	10356	12584	21629	17029	8406	2916	780	723	239	103	0	0	0	0	0	0	0
rnd-1_family-45	Unknown	Unknown	0	0	0	0	0	0	92	28	168	130	30	78	206	120	63	123	227	140	128	95	43	56	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-251	DNA	TcMar-Mariner	0	0	0	0	42	0	177	66	647	1150	2073	2183	3236	5510	4417	5384	2482	1086	1910	1215	1078	219	182	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1748	DNA	TcMar-Mariner	923	1056	69668	168849	96891	25509	2906	229	214	226	113	126	98	139	245	162	84	125	49	34	53	59	138	59	0	0	50	0	0	0	109	340	0	439	0	0	0	0	0	0
