			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
rnd-6_family-70	Unknown	Unknown	0	0	4943	2447	0	1879	5975	1077	60	0	0	472	947	1375	1151	1442	739	408	675	99	110	694	179	271	288	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-83	Unknown	Unknown	0	0	75	508	2786	3589	1278	2865	3008	2686	3382	1522	371	0	709	560	958	0	417	165	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-3	Unknown	Unknown	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-40	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	151	108	0	0	0	48	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-248	Unknown	Unknown	0	0	0	0	0	0	204	52	239	403	1264	618	725	629	2047	2000	1395	3526	2512	3162	3121	3791	3109	1431	1317	418	268	146	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-21	Unknown	Unknown	0	0	78	158	0	0	0	41	76	142	88	186	44	0	234	112	188	367	92	101	0	119	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4049	Unknown	Unknown	0	0	0	0	0	0	258	267	259	257	257	0	0	177	183	339	488	260	1302	1331	1026	785	983	1208	171	366	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2685	Unknown	Unknown	29	0	0	62	44	116	206	771	150	75	440	284	793	744	333	327	290	1040	938	1031	704	691	107	354	222	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-51	Unknown	Unknown	0	0	50	112	0	0	235	115	340	559	119	403	25	331	194	238	46	0	0	39	0	0	292	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-322	Unknown	Unknown	0	0	0	33	0	566	2048	186	952	675	447	2516	4226	2574	5871	5299	6222	4783	4325	3203	1163	2636	1247	174	392	563	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-11060	Unknown	Unknown	0	0	511	848	1166	0	0	0	165	172	836	909	855	107	997	692	270	770	395	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-73	Unknown	Unknown	0	175	168	430	450	1394	600	0	29	174	21	437	121	0	86	368	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2107	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	381	0	0	259	417	519	92	495	976	1599	671	721	1303	1630	290	885	421	267	194	276	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-247	Unknown	Unknown	20529	1118	520	197	98	94	48	205	373	785	1004	727	980	874	1564	1522	1204	1539	1528	1238	1109	813	546	464	303	245	213	518	181	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-75	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1374	Unknown	Unknown	0	0	0	0	66	0	111	72	154	0	561	233	357	263	211	911	848	1404	357	1559	1525	389	997	724	167	271	400	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-3_family-91	Unknown	Unknown	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	583	558	648	622	278	722	2836	2003	1271	1505	775	387	377	0	219	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1748	DNA	TcMar-Mariner	1316	194	58585	176675	104781	29513	4548	343	266	277	131	56	94	176	123	162	60	67	74	101	57	0	138	59	0	0	60	0	0	0	109	340	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-975	Unknown	Unknown	0	0	44	426	0	1704	6497	4677	6125	4619	1049	119	0	206	585	2017	3211	6560	6511	5917	7211	4936	6513	5847	7294	7510	6029	4586	4551	1539	1042	575	149	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-594	Unknown	Unknown	28	370	174	2260	3811	10532	19895	16941	16352	11111	7179	8487	6983	4939	6051	2658	2994	1043	507	1072	186	0	125	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-4170	Unknown	Unknown	0	0	40	0	0	73	93	376	100	182	233	166	265	321	146	458	187	592	350	163	225	369	455	460	267	70	121	129	98	0	124	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-974	Unknown	Unknown	0	0	0	30	0	3133	8477	6450	1300	429	1469	0	416	51	97	428	2874	5009	6741	4403	3874	2915	762	61	212	0	336	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-996	Unknown	Unknown	0	0	0	0	86	0	0	0	145	392	173	1151	1628	1448	1378	1912	2577	1341	1230	939	1271	979	227	438	0	205	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-13064	Unknown	Unknown	343	657	1573	1457	2947	3945	5129	3551	6119	5894	4072	2119	2188	381	794	168	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-8450	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3413	326	1889	0	0	186	352	1430	2128	0	632	563	247	2394	606	1797	0	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-31	Unknown	Unknown	0	0	0	0	64	0	0	0	1116	1784	2593	1115	0	245	1662	3038	577	1355	1108	146	2294	3989	2742	1431	6106	4275	792	3185	2115	903	783	228	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4730	Unknown	Unknown	4376	0	0	242	769	0	558	479	1717	4572	1340	583	498	146	0	179	319	221	1316	1158	415	605	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-3658	DNA	TcMar-Tigger	0	0	0	0	0	93	167	417	332	647	1171	1718	1247	1761	1974	1370	815	1220	366	284	173	245	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1412	Unknown	Unknown	0	0	1167	2651	1656	4998	5865	3867	1766	3015	2186	2529	508	238	136	1097	129	779	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-18	DNA	hAT-Ac	0	478	0	0	5967	19406	5082	14089	22256	20325	22683	30851	26556	22642	13678	9556	23996	15598	12886	11150	3727	4266	2486	1865	3264	823	820	458	280	147	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-6329	Unknown	Unknown	345	0	8436	11246	13423	16835	27393	6907	902	1154	0	114	62	48	0	118	541	289	756	788	1240	179	901	1367	1394	252	392	531	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-2298	Unknown	Unknown	0	0	0	357	0	0	0	0	60	0	67	62	159	324	433	384	458	1006	601	1501	1270	846	1770	2308	1997	1387	825	1368	1259	378	449	140	66	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-525	Unknown	Unknown	0	0	0	0	0	0	0	0	34	0	95	0	41	47	421	253	400	470	659	507	663	513	1184	661	310	413	469	579	226	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1840	DNA	PiggyBac	0	0	0	0	278	397	1245	1484	251	2383	2027	278	988	863	98	88	0	170	0	0	0	0	232	234	380	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-6680	Unknown	Unknown	0	0	0	466	1486	1992	1958	0	85	2034	2680	1517	1350	519	494	3825	2063	2057	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-3082	Unknown	Unknown	0	0	0	181	124	4537	4174	8764	4883	3250	4300	4147	3203	1647	943	1162	869	821	521	214	259	105	0	103	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-8484	Unknown	Unknown	0	0	250	0	0	0	0	0	0	0	75	0	0	0	69	111	246	471	161	183	448	304	326	399	177	497	107	733	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-53	Unknown	Unknown	0	0	0	0	465	0	103	281	175	601	820	1667	1794	1957	2028	1097	1051	1417	1161	577	81	171	177	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2068	Unknown	Unknown	0	0	210	21444	4343	3187	2569	24309	10229	9149	8462	2454	444	5262	2833	3063	2149	2108	5176	3598	2188	1317	3719	1751	2842	1698	1005	668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-546	DNA	PiggyBac	0	0	41	120	57	268	0	1378	2108	1738	3142	6077	8842	9130	13899	12116	10736	10150	12465	8746	6300	7490	2641	3234	1192	990	117	136	0	392	758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-371	DNA	TcMar-Mariner	0	348	20403	45842	6425	1958	0	0	0	22	55	0	0	0	0	0	0	0	0	0	85	0	0	60	0	60	0	200	187	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-78	DNA	TcMar-Mariner	605	4763	3167	2170	1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1877	Unknown	Unknown	0	0	0	0	0	0	0	2106	5258	1012	2455	1360	1904	3891	5808	5397	6779	2616	485	848	252	158	107	33	19	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3037	Unknown	Unknown	0	0	0	0	0	0	0	54	125	294	72	42	417	1061	1101	1892	3079	4570	3560	5851	6436	7646	4374	3469	2538	1621	730	692	310	133	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-935	Unknown	Unknown	0	0	0	0	0	0	0	56	0	507	0	133	603	339	955	1498	2071	2608	1906	1908	4491	1559	2281	2094	1294	2094	927	650	311	461	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-865	Unknown	Unknown	0	0	0	0	0	0	0	56	123	287	138	1027	359	1735	1319	2760	1600	1978	1696	1156	822	0	901	184	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-873	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	45	104	90	0	417	228	565	1008	838	791	1870	2090	2060	1640	1399	1465	1804	344	507	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1095	Unknown	Unknown	0	0	0	0	0	0	0	0	1052	262	0	656	1574	2222	1349	3208	7401	8189	9334	8975	8811	3747	2631	804	919	433	230	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-22	Unknown	Unknown	0	0	36	0	0	0	0	78	0	149	317	149	122	722	198	971	846	1262	613	796	1105	1357	1234	1023	609	605	348	205	84	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-0	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	171	9	96	18	149	17	9	1	19	7	11	0	176	323	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-39	Unknown	Unknown	0	0	0	0	0	0	0	1331	6124	5680	1487	0	663	1238	5918	4137	1461	478	0	0	151	799	0	957	1396	451	996	736	454	83	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-324	Unknown	Unknown	0	0	238	0	0	0	0	0	0	42	179	0	76	239	119	321	208	267	216	511	683	274	642	551	1173	601	1110	1519	547	524	171	370	277	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-37	Unknown	Unknown	0	0	0	0	0	0	0	0	1658	4702	8072	3174	1116	685	311	359	1047	0	622	325	991	627	34	0	579	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-143	Unknown	Unknown	0	0	0	0	287	0	0	0	0	0	0	0	0	75	54	76	60	0	236	0	156	531	172	459	367	1397	66	390	1142	781	238	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2088	Unknown	Unknown	0	0	0	0	0	0	0	0	275	1074	0	287	2562	1650	1184	2400	3655	4389	4171	2659	2333	2884	877	284	787	917	297	0	147	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-6697	Unknown	Unknown	0	0	1078	430	216	225	466	1226	381	181	224	0	336	328	0	138	162	419	282	192	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-357	Unknown	Unknown	0	0	0	0	0	0	0	603	598	400	538	882	0	540	193	1328	1349	1628	2273	1415	812	1911	821	487	170	151	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-9658	Unknown	Unknown	0	0	42	0	0	0	45	289	315	506	575	1030	2538	3062	5249	5311	5817	5841	3929	3767	3966	3232	2568	873	870	437	466	175	224	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-423	Unknown	Unknown	0	0	0	0	69	0	0	249	93	136	427	577	973	1607	3754	4328	4344	6015	6117	5033	5380	4902	3516	2447	545	599	432	474	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-306	Unknown	Unknown	0	0	0	0	0	244	0	0	0	0	0	59	0	0	0	0	111	115	0	0	480	0	249	441	167	293	710	0	263	149	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-2258	Unknown	Unknown	2356	28149	3735	9525	2469	6630	16232	1712	15585	17080	6057	9923	170	915	4106	1714	2095	5020	4334	5811	6303	7720	6928	5185	4200	3551	4844	4041	2537	2064	664	352	222	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-43	Unknown	Unknown	0	0	0	0	0	0	0	337	634	319	641	947	908	313	610	639	0	412	341	949	669	799	0	870	0	308	717	250	450	398	666	171	0	175	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-211	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	523	0	0	0	0	0	0	0	0	0	0	0	226	274	1919	2692	2343	4128	2487	2070	2469	1559	1024	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-69	Unknown	Unknown	0	58	2493	3352	0	300	46	0	60	136	88	0	377	419	1187	1394	2302	3076	3151	2766	2939	1299	1171	865	731	1018	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-5557	Unknown	Unknown	0	0	0	0	0	0	873	55	61	265	991	876	2844	4175	5631	6284	4692	8098	4517	2450	1865	1613	441	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-346	Unknown	Unknown	0	0	0	27	0	0	30	0	93	225	40	214	0	272	439	245	946	1160	182	124	734	437	664	368	611	333	149	402	263	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-502	Unknown	Unknown	36	0	0	0	0	54	0	0	137	188	145	221	142	208	264	527	664	449	940	531	1421	767	674	1785	2430	1713	1541	1257	1675	917	1261	616	343	390	279	87	165	193	0	1	0	0	0	0	0	0	0	0	0	0
rnd-1_family-41	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	1130	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-55	Unknown	Unknown	0	0	0	1372	1390	0	0	0	411	428	815	852	658	1275	970	2036	3501	4002	2284	2693	3557	2629	1374	1500	919	695	818	362	141	159	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1480	Unknown	Unknown	0	0	35	0	45	108	225	171	540	234	243	639	507	716	500	612	539	884	479	753	373	586	597	330	110	394	147	142	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-45	Unknown	Unknown	0	0	0	0	0	0	63	28	168	128	30	78	242	134	90	131	227	132	128	95	112	56	62	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-14	DNA	TcMar-Tc1	150	685	1913	2932	4796	5177	4956	2502	1652	864	474	621	391	236	42	325	110	259	317	792	164	379	182	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-413	Unknown	Unknown	304	0	680	368	361	337	360	373	678	339	814	346	635	748	827	652	465	121	1141	284	702	489	579	1124	771	756	830	651	302	328	158	246	120	0	0	179	151	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-6681	Unknown	Unknown	0	391	1175	1205	100	0	1026	97	102	99	475	453	41	0	100	310	239	0	0	274	0	178	54	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-62	Unknown	Unknown	0	0	0	0	0	0	67	0	0	125	0	125	0	51	191	381	605	785	310	362	496	1427	172	514	815	298	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-3_family-34	DNA	TcMar-Tc1	0	0	0	29	0	74	32	120	139	285	369	448	506	696	902	1661	1511	1401	2072	1955	2370	1816	1982	2203	1580	2507	1861	691	1020	315	451	314	68	9	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-27	Unknown	Unknown	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	988	893	2148	2813	2387	3713	5076	3215	2939	934	552	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-29	DNA	hAT-Ac	0	0	0	5921	12877	23882	18531	16355	31608	17001	12443	3331	5707	4933	4291	1733	643	2002	1806	0	0	975	672	546	157	330	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-592	Unknown	Unknown	0	0	0	0	0	0	0	0	170	0	297	164	274	296	1073	958	2071	2386	2154	1430	2774	708	703	862	528	124	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-19	DNA	TcMar-Tc1	713	723	728	964	510	914	619	412	524	204	303	211	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-74	Unknown	Unknown	0	0	0	0	0	0	0	0	51	0	0	0	42	0	0	0	0	0	53	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-8475	Unknown	Unknown	0	0	0	0	0	0	0	0	925	0	127	0	646	1634	2098	5543	4414	6326	6563	6466	6419	3080	1605	1239	0	132	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
